Id,Open,Close,High,Low,Volume,Date
2711,1221.03,1225.2,1227.35,1216.88,,09/18/14
2712,1234.62,1223.45,1239.05,1221.88,,09/17/14
2713,1232.85,1235.3,1241.65,1232.35,,09/16/14
2714,1229.1,1233.1,1238.35,1225.8,,09/15/14
2715,1240.45,1228.55,1241.65,1227.65,,09-12-2014
2716,1249.45,1236.5,1250.3,1235.95,,09-11-2014
2717,1254.85,1249.35,1257.7,1244.05,,09-10-2014
2718,1257.38,1256,1258.18,1247.55,,09-09-2014
2719,1269.85,1255.75,1271.75,1251.85,,09-08-2014
2720,1261.75,1268.7,1273.55,1257.4,,09-05-2014
2721,1269.75,1259.7,1275.65,1257.35,,09-04-2014
2722,1266.5,1263,1271.25,1261.7,,09-03-2014
2723,1286.45,1262,1287.55,1262,,09-02-2014
2724,1287.65,1286.6,1289.95,1285.08,,09-01-2014
2725,1290.05,1287.55,1291.15,1284,,08/29/14
2726,1282.65,1289.6,1296.35,1282.45,,08/28/14
2727,1281.3,1282.8,1287.3,1280.3,,08/27/14
2728,1276.5,1280.8,1290.85,1275.8,,08/26/14
2729,1281.3,1280,1282.35,1272,,08/25/14
2730,1281.23,1281.23,1281.23,1281.23,,08/24/14
2731,1277.35,1281.23,1282.95,1274.55,,08/22/14
2732,1290.75,1276.6,1291.15,1273.65,,08/21/14
2733,1295.85,1290.8,1297.48,1288.23,,08/20/14
2734,1298.5,1295.05,1302.23,1294.25,,08/19/14
2735,1302.4,1297.3,1303.75,1295.85,,08/18/14
2736,1312.18,1304.8,1315.45,1293.35,,08/15/14
2737,1312.6,1312.75,1318.65,1309.25,,08/14/14
2738,1308.4,1312.85,1315.03,1305.15,,08/13/14
2739,1308.2,1308.55,1317.55,1305.88,,08-12-2014
2740,1309.2,1308.35,1311.5,1305.35,,08-11-2014
2741,1312.65,1309.6,1322.35,1306.65,,08-08-2014
2742,1306.43,1313.03,1314.45,1302.35,,08-07-2014
2743,1288.65,1305.78,1309.25,1287.85,,08-06-2014
2744,1288.45,1288.65,1293.55,1283.05,,08-05-2014
2745,1294.2,1288.15,1295.55,1286.4,,08-04-2014
2746,1293.95,1293.5,1293.95,1293.5,,08-03-2014
2747,1283.95,1293.95,1296.35,1280.95,,08-01-2014
2748,1296.45,1279.5,1297.35,1279.5,,07/31/14
2749,1299.45,1296.1,1302.65,1292.35,,07/30/14
2750,1304.15,1298.9,1312.05,1296.3,,07/29/14
2751,1306,1304.25,1309.35,1301.68,,07/28/14
2752,1309.9,1309.9,1309.9,1309.9,,07/27/14
2753,1294.25,1308,1308.25,1291.13,,07/25/14
2754,1304.65,1293.8,1305.3,1288.8,,07/24/14
2755,1307.65,1304.3,1310.75,1303.5,,07/23/14
2756,1312.2,1307.6,1314.75,1302.65,,07/22/14
2757,1310.15,1312,1318.1,1307.65,,07/21/14
2758,1319.55,1309.85,1324.75,1305.38,,07/18/14
2759,1299.15,1318.35,1323.55,1297.8,,07/17/14
2760,1295.05,1296.5,1303.55,1294,,07/16/14
2761,1307.75,1293.8,1313.75,1292.65,,07/15/14
2762,1339.25,1307.3,1339.3,1303.45,,07/14/14
2763,1335.9,1339,1339.2,1334.25,,07-11-2014
2764,1328,1335.25,1344.35,1326.73,,07-10-2014
2765,1319.5,1326.7,1331.775,1318.15,,07-09-2014
2766,1319.65,1319.8,1324.8,1313.7,,07-08-2014
2767,1319.85,1320.15,1320.15,1312.13,,07-07-2014
2768,1320.2,1320.35,1323,1318.95,,07-04-2014
2769,1327.4,1321,1327.55,1311.005,,07-03-2014
2770,1326.48,1330.45,1331.85,1321.95,,07-02-2014
2771,1326.8,1325.8,1332.3,1323.95,,07-01-2014
2772,1316,1327.5,1329.75,1311.05,,06/30/14
2773,1308.15,1308.25,1308.25,1308.15,,06/29/14
2774,1316.42,1315.3,1322.05,1312.85,,06/27/14
2775,1319.5,1315.5,1319.83,1306.85,,06/26/14
2776,1318.35,1319.5,1324.25,1311.15,,06/25/14
2777,1317.78,1318.1,1325.7,1313.95,,06/24/14
2778,1314.8,1315.55,1318.4,1310.2,,06/23/14
2779,1314.55,1314.55,1314.55,1314.55,,06/22/14
2780,1321.68,1314.55,1321.95,1306.65,,06/20/14
2781,1277.65,1318.75,1321.25,1276.05,,06/19/14
